epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,14827.2,0.89267,0.46433,1.00577,0.93516,0.8062,0.85661,0.62299,1.06089,0.51569,1.01053,0.000521228,0.000521228,0.000521228
79,15120.6,0.88784,0.46658,0.9999,0.95623,0.77999,0.85936,0.63035,1.04494,0.52654,1.00075,0.000509438,0.000509438,0.000509438
80,15413,0.88665,0.46168,1.00037,0.94435,0.80193,0.85995,0.62678,1.05437,0.51626,0.99936,0.000497649,0.000497649,0.000497649
81,15703.1,0.88425,0.45795,1.00274,0.95637,0.8033,0.86376,0.63339,1.05284,0.52143,0.99993,0.00048586,0.00048586,0.00048586
82,15994.6,0.89079,0.46108,1.00411,0.93719,0.81146,0.86199,0.62878,1.05198,0.52259,0.99663,0.000474071,0.000474071,0.000474071
83,16283.9,0.88063,0.45089,1.00326,0.95389,0.79579,0.86196,0.63012,1.05538,0.51865,1.00404,0.000462281,0.000462281,0.000462281
84,16576.1,0.88924,0.46052,1.00457,0.94418,0.80588,0.85997,0.62594,1.05606,0.52469,0.99814,0.000450492,0.000450492,0.000450492
85,16863,0.87857,0.45484,0.99906,0.93971,0.81285,0.86723,0.63085,1.05606,0.51012,1.00174,0.000438703,0.000438703,0.000438703
86,17150.7,0.88273,0.44971,0.99958,0.93311,0.82017,0.86511,0.63546,1.03078,0.49913,0.991,0.000426914,0.000426914,0.000426914
87,17438.5,0.8746,0.44147,0.99113,0.94756,0.80519,0.86715,0.63593,1.04204,0.4973,0.98947,0.000415124,0.000415124,0.000415124
88,17727.3,0.865,0.43761,0.99312,0.93103,0.81487,0.86472,0.63332,1.04102,0.50008,0.98835,0.000403335,0.000403335,0.000403335
89,18021.2,0.87522,0.4421,0.99827,0.95219,0.79995,0.86216,0.63769,1.04491,0.51757,0.99097,0.000391546,0.000391546,0.000391546
90,18318.9,0.87722,0.43759,0.99329,0.93405,0.80734,0.86479,0.63752,1.04746,0.5146,0.99344,0.000379757,0.000379757,0.000379757
91,18612.9,0.87389,0.44601,0.99612,0.95187,0.80518,0.8637,0.63043,1.04488,0.52187,0.99531,0.000367967,0.000367967,0.000367967
92,18900.6,0.85425,0.43299,0.98969,0.94079,0.80934,0.86767,0.63891,1.03572,0.50328,0.99202,0.000356178,0.000356178,0.000356178
93,19193.2,0.85427,0.42752,0.98747,0.94123,0.80313,0.86583,0.63873,1.02695,0.50976,0.98912,0.000344389,0.000344389,0.000344389
94,19487,0.85934,0.43715,0.98914,0.952,0.8032,0.86822,0.63862,1.03413,0.51201,0.99501,0.0003326,0.0003326,0.0003326
95,19779.7,0.84743,0.4284,0.98285,0.93333,0.81803,0.86675,0.63777,1.03062,0.51693,0.98992,0.00032081,0.00032081,0.00032081
96,20065.6,0.85963,0.4394,0.98841,0.94319,0.81,0.86806,0.64308,1.02827,0.52325,0.99149,0.000309021,0.000309021,0.000309021
97,291.3,0.83356,0.41763,0.9785,0.95369,0.80529,0.86964,0.64435,1.04245,0.52182,0.99884,0.000297232,0.000297232,0.000297232
98,577.694,0.83662,0.4172,0.97949,0.9488,0.81061,0.86773,0.64289,1.03525,0.5115,0.99877,0.000285443,0.000285443,0.000285443
99,881.383,0.829,0.41285,0.97524,0.94669,0.81128,0.86771,0.64338,1.03236,0.51222,0.99877,0.000273654,0.000273654,0.000273654
100,1193.75,0.82239,0.41833,0.98084,0.94002,0.80993,0.8721,0.64745,1.03136,0.50559,0.99205,0.000261864,0.000261864,0.000261864
101,1532.12,0.82948,0.41599,0.97349,0.9374,0.8136,0.87038,0.64313,1.02394,0.49494,0.98997,0.000250075,0.000250075,0.000250075
102,285.014,0.77755,0.38422,0.95856,0.95864,0.80168,0.87232,0.64608,1.03768,0.50776,0.99406,0.000238286,0.000238286,0.000238286
103,640.554,0.76476,0.38162,0.95331,0.96079,0.79207,0.86672,0.64217,1.03753,0.50587,0.99435,0.000226497,0.000226497,0.000226497
104,993.956,0.76361,0.37789,0.95193,0.93887,0.81287,0.86819,0.64164,1.0379,0.50125,0.99793,0.000214707,0.000214707,0.000214707
105,280.167,0.72765,0.36284,0.94261,0.95015,0.80766,0.87094,0.64631,1.03901,0.513,0.99771,0.000202918,0.000202918,0.000202918
106,567.882,0.71187,0.35819,0.93678,0.95525,0.79661,0.86809,0.64306,1.04119,0.51727,0.99916,0.000191129,0.000191129,0.000191129
107,924.963,0.72183,0.35962,0.93884,0.93341,0.8119,0.86668,0.64085,1.0367,0.50877,0.99833,0.00017934,0.00017934,0.00017934
